id;comment;created_at;user_id;rework_detail_id
1;../fake-data/blob/hipster.txt;2023-11-19T15:45:22;1;1
2;../fake-data/blob/hipster.txt;2023-11-19T19:47:30;2;2
3;../fake-data/blob/hipster.txt;2023-11-19T21:50:15;1;3
4;../fake-data/blob/hipster.txt;2023-11-19T22:44:51;2;4
5;../fake-data/blob/hipster.txt;2023-11-19T15:12:08;2;5
6;../fake-data/blob/hipster.txt;2023-11-19T16:46:06;1;6
7;../fake-data/blob/hipster.txt;2023-11-19T18:19:13;1;7
8;../fake-data/blob/hipster.txt;2023-11-19T22:49:10;1;8
9;../fake-data/blob/hipster.txt;2023-11-19T19:39:50;1;9
10;../fake-data/blob/hipster.txt;2023-11-19T23:11:23;1;10
